id_vivienda,id_hogar,sexo,fecha_nacimiento,edad,estado_actividad,nivel_educativo,ingreso,prestamo_personas,prestamo_banco,compra_cuotas
TQRMNORSTHJMKNCDEIGED00862974,1,2,1900-01-01 00:00:00,66,3,1,300000.0,1,2,2
TQRMNOURVHMNKMCDEIGED00811734,1,1,1988-03-11 00:00:00,36,1,4,840000.0,2,2,1
TQRMNOURVHMNKMCDEIGED00811734,1,2,1990-05-31 00:00:00,34,1,4,500000.0,2,2,1
TQRMNOQSYHMMKNCDEIGED00811735,1,2,1971-11-13 00:00:00,52,3,2,30000.0,1,2,2
TQRMNOTUVHKMLQCDEIGED00868379,1,2,1982-05-05 00:00:00,42,2,4,255000.0,2,2,1
TQRMNOPUWHLNLPCDEIGED00806663,1,1,1994-07-21 00:00:00,30,1,2,300000.0,2,2,2
TQRMNORPPHLNLPCDEIGED00806664,1,2,1900-01-01 00:00:00,62,3,6,1180000.0,2,2,1
TQRMNORPPHLNLPCDEIGED00806664,1,1,1900-01-01 00:00:00,26,3,3,150000.0,2,2,1
TQRMNORPSHLNLPCDEIGED00811744,1,2,1958-11-25 00:00:00,65,3,5,490000.0,2,1,1
TQRMNORRYHLMKQCDEIOAH00808234,1,2,1953-12-09 00:00:00,70,3,4,209000.0,2,2,2
TQRMNOSPVHKMKRCDEIOAH00868449,1,1,1951-08-06 00:00:00,73,3,2,220000.0,2,2,2
TQRMNOPVUHMMKQCDEIOAH00813259,1,1,1982-01-04 00:00:00,42,1,4,900000.0,2,2,2
TQRMNOTTQHMMKRCDEIOAH00813238,1,1,1993-01-01 00:00:00,31,1,3,550000.0,2,2,2
TQRMNOTTQHMMKRCDEIOAH00813238,1,1,2000-04-07 00:00:00,24,1,4,43200.0,2,2,2
TQRMNORWVHJNKSCDEIOAH00863393,1,1,1997-10-14 00:00:00,25,1,3,78000.0,2,2,2
TQRMNORWVHJNKSCDEIOAH00863393,1,2,1980-01-08 00:00:00,43,3,2,280000.0,2,2,2
TQRMNORWVHJNKSCDEIOAH00863393,1,1,1976-04-26 00:00:00,46,1,1,78000.0,2,2,2
TQRMNORWVHJNKSCDEIOAH00863393,1,1,2001-06-05 00:00:00,21,1,3,78000.0,2,2,2
TQRMNOQXPHJMKRCDEGJBF00863480,1,2,1979-11-16 00:00:00,44,1,6,950000.0,2,2,1
TQRMNOQXPHJMKRCDEGJBF00863480,1,1,1977-09-02 00:00:00,46,1,6,1400000.0,2,2,1
TQRMNOPPTHMOKRCDEGJBF00810089,1,1,1978-01-24 00:00:00,46,1,4,550000.0,2,2,1
TQRMNOPPTHMOKRCDEGJBF00810089,1,2,1978-03-24 00:00:00,46,1,4,259500.0,2,2,1
TQRMNOPPTHMOKRCDEGJBF00810089,1,2,1999-01-29 00:00:00,25,1,5,216000.0,2,2,1
TQRMNOPPTHMOKRCDEGJBF00810089,1,1,2004-06-21 00:00:00,20,1,4,350000.0,2,2,1
TQRMNOPVWHMOKRCDEGJBF00810074,1,1,1969-09-18 00:00:00,54,1,2,650000.0,2,2,1
TQRMNOPVWHMOKRCDEGJBF00810074,1,1,1999-03-04 00:00:00,25,1,4,900000.0,2,2,1
TQRMNOTRVHMOKRCDEGJBF00810090,1,1,1951-07-29 00:00:00,73,1,3,365000.0,2,2,1
TQRMNOTRVHMOKRCDEGJBF00810090,1,2,1954-01-12 00:00:00,70,3,3,345000.0,2,2,1
