id_vivienda,id_hogar,region,sexo,fecha_nacimiento,edad,estado_actividad,nivel_educativo,ingreso,prestamo_personas,prestamo_banco,compra_cuotas
TQRMNOTQYHMOKSCDEHPJB00811608,1,40,1,2005-06-26 00:00:00,19,1,2,156000.0,2,2,2
TQRMNOTQYHMOKSCDEHPJB00811608,1,40,2,2015-09-08 00:00:00,8,4,1,0.0,2,2,2
TQRMNOPPXHLNKRCDEHGHJ00805684,1,44,1,1900-01-01 00:00:00,61,1,5,150000.0,1,2,2
TQRMNOPPXHLNKRCDEHGHJ00805684,1,44,2,1900-01-01 00:00:00,49,1,2,280000.0,1,2,2
TQRMNOPPXHLNKRCDEHGHJ00805684,1,44,1,1900-01-01 00:00:00,19,1,4,280000.0,1,2,2
TQRMNOPPXHLNKRCDEHGHJ00805684,1,44,2,1900-01-01 00:00:00,18,1,4,280000.0,1,2,2
TQRMNOQRPHKNNTCDEIIAD00868801,1,1,2,1964-12-21 00:00:00,59,2,5,650000.0,2,2,2
TQRMNOQRPHKNNTCDEIIAD00868801,1,1,2,2003-03-22 00:00:00,21,3,4,0.0,2,2,2
TQRMNOSPUHMMNPCDEIIAD00812121,1,1,2,1953-07-09 00:00:00,71,3,6,800000.0,2,2,1
TQRMNOUWUHMONQCDEIIAD00868802,1,1,2,1953-08-23 00:00:00,71,1,6,2500000.0,2,2,1
TQRMNOUWUHMONQCDEIIAD00868802,1,1,1,1954-10-04 00:00:00,70,3,6,4000000.0,2,2,1
TQRMNORUQHLLKOCDEIJAH00807525,1,1,1,1988-05-22 00:00:00,36,1,6,1050000.0,1,1,1
TQRMNORUQHLLKOCDEIJAH00807525,1,1,2,1991-04-21 00:00:00,33,2,5,0.0,1,1,1
TQRMNORUQHLLKOCDEIJAH00807525,1,1,1,2020-05-09 00:00:00,4,4,7,0.0,1,1,1
TQRMNORUQHLLKOCDEIJAH00807525,1,1,2,2013-03-22 00:00:00,11,3,1,0.0,1,1,1
TQRMNOQSXHJKKQCDEIJAH00864009,1,1,1,1985-06-19 00:00:00,39,1,5,950000.0,2,2,1
TQRMNOQSXHJKKQCDEIJAH00864009,1,1,2,1994-09-15 00:00:00,30,1,5,1200000.0,2,2,1
TQRMNOQVRHJKKQCDEIJAH00863058,1,1,1,1972-03-29 00:00:00,52,1,6,1200000.0,2,1,2
TQRMNOQVRHJKKQCDEIJAH00863058,1,1,2,1978-08-03 00:00:00,46,3,6,0.0,2,1,2
TQRMNOQVRHJKKQCDEIJAH00863058,1,1,2,2005-07-13 00:00:00,19,3,4,0.0,2,1,2
TQRMNOQVRHJKKQCDEIJAH00863058,1,1,1,2002-03-01 00:00:00,22,3,5,0.0,2,1,2
TQRMNOSSUHMOKQCDEIJAH00812412,1,1,2,1955-12-13 00:00:00,68,3,1,350000.0,2,2,2
TQRMNOPUYHJMKRCDEIJAH00868803,1,1,2,1949-09-08 00:00:00,75,3,6,500000.0,2,2,1
TQRMNOPUYHJMKRCDEIJAH00868803,1,1,1,1948-03-26 00:00:00,76,3,2,285653.0,2,2,1
TQRMNOQXRHMOLSCDEFIAH00808657,1,43,1,2000-11-25 00:00:00,23,1,5,-9.0,1,2,2
TQRMNOQXRHMOLSCDEFIAH00808657,1,43,2,2008-07-29 00:00:00,15,3,3,0.0,1,2,2
TQRMNOPQTHLMLTCDEFIAH00803422,1,43,1,1937-12-12 00:00:00,86,3,5,-9.0,2,2,2
TQRMNOSSPHMOLTCDEFIAH00808658,1,43,2,1978-11-02 00:00:00,45,1,2,340000.0,2,2,2
TQRMNOSSPHMOLTCDEFIAH00808658,1,43,1,2004-02-02 00:00:00,20,2,2,0.0,2,2,2
TQRMNOSSPHMOLTCDEFIAH00808658,1,43,1,2011-12-31 00:00:00,12,3,3,0.0,2,2,2
TQRMNOSSPHMOLTCDEFIAH00808658,1,43,1,2014-05-21 00:00:00,10,3,1,0.0,2,2,2
TQRMNOSUYHMOLTCDEFIAH00808659,1,43,1,1966-09-29 00:00:00,57,1,6,800000.0,2,2,2
TQRMNOQQTHJMLUCDEFIAH00868836,1,43,2,1960-06-21 00:00:00,64,3,4,200000.0,2,2,2
TQRMNOQQTHJMLUCDEFIAH00868836,1,43,1,1956-12-22 00:00:00,67,3,3,500000.0,2,2,2
TQRMNOUUQHKOLTCDEFIAH00868837,1,43,2,1956-07-27 00:00:00,68,3,6,400000.0,2,2,2
TQRMNOUUQHKOLTCDEFIAH00868837,1,43,2,1990-12-20 00:00:00,33,1,6,-9.0,2,2,2
TQRMNORRTHLMLUCDEFIAH00803396,1,43,1,1981-08-30 00:00:00,43,1,6,-9.0,2,2,1
TQRMNORRTHLMLUCDEFIAH00803396,1,43,2,1984-05-11 00:00:00,40,1,5,695000.0,2,2,1
TQRMNOQXVHKOMLCDEFIAH00868838,1,43,2,1961-11-18 00:00:00,62,1,6,500000.0,2,2,2
TQRMNOQXVHKOMLCDEFIAH00868838,1,43,2,1945-12-15 00:00:00,78,3,6,30000.0,2,2,2
TQRMNOQXVHKOMLCDEFIAH00868838,1,43,1,1947-01-02 00:00:00,77,2,6,30000.0,2,2,2
TQRMNOQYUHLNLRCDEFJAH00803550,1,43,1,1994-01-31 00:00:00,30,1,3,-9.0,2,2,2
TQRMNOQYUHLNLRCDEFJAH00803550,1,43,1,1996-10-09 00:00:00,27,1,3,-9.0,2,2,2
TQRMNOQYUHLNLRCDEFJAH00803550,1,43,1,2003-01-13 00:00:00,21,1,4,-9.0,2,2,2
TQRMNOQYUHLNLRCDEFJAH00803550,1,43,1,2006-02-11 00:00:00,18,1,4,-9.0,2,2,2
TQRMNOQYUHLNLRCDEFJAH00803550,1,43,2,2001-10-17 00:00:00,22,3,4,0.0,2,2,2
TQRMNOSPYHLLKSCDEHMHF00811262,2,42,2,1974-12-06 00:00:00,49,1,4,350000.0,2,2,2
TQRMNOSPYHLLKSCDEHMHF00811262,2,42,2,2000-07-27 00:00:00,24,3,5,30000.0,2,2,2
TQRMNOPRPHKMLMCDEHMHF00868857,1,42,2,1992-10-02 00:00:00,31,1,6,1000000.0,2,2,1
TQRMNOPRPHKMLMCDEHMHF00868857,1,42,1,1991-04-21 00:00:00,33,1,6,1000000.0,2,2,1
TQRMNOPRPHKMLMCDEHMHF00868857,1,42,1,2022-03-14 00:00:00,2,4,7,0.0,2,2,1
TQRMNOPRPHKMLMCDEHMHF00868857,1,42,1,2020-05-16 00:00:00,4,4,7,0.0,2,2,1
TQRMNOQTXHKMLMCDEHMHF00868858,1,42,2,1957-12-07 00:00:00,66,1,4,416931.0,2,2,1
TQRMNOUPRHMMKUCDEHMHF00811333,1,42,1,1979-05-30 00:00:00,45,1,3,500000.0,2,1,1
TQRMNOUPRHMMKUCDEHMHF00811333,1,42,2,1980-01-11 00:00:00,44,1,6,1000000.0,2,1,1
TQRMNOQWPHMLLLCDEHMHF00811331,1,42,2,1961-11-11 00:00:00,62,3,6,900000.0,2,2,1
TQRMNOQWPHMLLLCDEHMHF00811331,1,42,1,1963-10-04 00:00:00,60,1,6,2000000.0,2,2,1
TQRMNOPRPHKNLQCDEFNFF00868372,1,41,2,2021-02-02 00:00:00,3,4,7,0.0,2,2,1
TQRMNOPRPHKNLQCDEFNFF00868372,1,41,1,2002-08-28 00:00:00,21,1,4,-9.0,2,2,1
TQRMNOQQYHMNLQCDEFNFF00809322,1,41,1,1984-10-23 00:00:00,39,1,4,370000.0,2,2,2
TQRMNOQQYHMNLQCDEFNFF00809322,1,41,2,1994-06-08 00:00:00,30,3,4,146000.0,2,2,2
TQRMNOQQYHMNLQCDEFNFF00809322,1,41,2,2013-10-07 00:00:00,10,3,1,0.0,2,2,2
TQRMNOQQYHMNLQCDEFNFF00809322,1,41,2,2021-02-08 00:00:00,3,4,7,0.0,2,2,2
TQRMNOQYUHJLLQCDEFNFF00862652,1,41,2,1989-01-14 00:00:00,35,1,6,900000.0,2,2,2
TQRMNOQYUHJLLQCDEFNFF00862652,1,41,1,2007-08-17 00:00:00,16,3,3,32000.0,2,2,2
TQRMNOTXTHJLLQCDEFNFF00862653,1,41,1,1998-09-30 00:00:00,25,1,1,30000.0,2,2,2
TQRMNOTXTHJLLQCDEFNFF00862653,1,41,2,1998-09-13 00:00:00,25,1,4,189500.0,2,2,2
TQRMNOTXTHJLLQCDEFNFF00862653,1,41,1,2017-07-05 00:00:00,7,4,1,0.0,2,2,2
TQRMNOPUUHKMLLCDEOHCH00868373,1,44,2,1982-01-20 00:00:00,42,1,6,760000.0,2,2,1
TQRMNOPUUHKMLLCDEOHCH00868373,1,44,1,1978-01-12 00:00:00,46,1,5,250000.0,2,2,1
TQRMNORXUHMMLLCDEOHCH00868374,1,44,2,1934-03-15 00:00:00,90,3,1,200000.0,2,2,2
TQRMNOQSPHJKKTCDEOHCH00862776,1,44,2,1975-07-25 00:00:00,48,3,3,0.0,2,2,2
TQRMNOQSPHJKKTCDEOHCH00862776,1,44,1,1972-07-02 00:00:00,51,3,3,120000.0,2,2,2
TQRMNOQSPHJKKTCDEOHCH00862776,1,44,2,1999-03-09 00:00:00,25,3,5,0.0,2,2,2
TQRMNOQSPHJKKTCDEOHCH00862776,1,44,2,2005-01-14 00:00:00,19,3,5,0.0,2,2,2
TQRMNOSQWHKOKRCDEHMHF00868402,1,42,2,2012-10-03 00:00:00,11,3,1,0.0,2,2,1
TQRMNOSQWHKOKRCDEHMHF00868402,1,42,2,2014-12-17 00:00:00,9,4,1,0.0,2,2,1
TQRMNORVYHKLKSCDEHMHF00868403,1,42,2,1971-04-17 00:00:00,53,1,3,554250.0,2,2,1
TQRMNORVYHKLKSCDEHMHF00868403,1,42,1,1997-09-11 00:00:00,26,3,4,300000.0,2,2,1
TQRMNORVYHKLKSCDEHMHF00868403,1,42,1,2005-09-30 00:00:00,18,1,4,160000.0,2,2,1
TQRMNORVYHKLKSCDEHMHF00868403,1,42,2,2000-12-11 00:00:00,23,1,4,-9.0,2,2,1
TQRMNORVYHKLKSCDEHMHF00868403,1,42,2,2018-10-22 00:00:00,5,4,7,0.0,2,2,1
TQRMNORUXHJLKRCDEHMHF00862734,1,42,2,1972-03-13 00:00:00,52,1,4,500000.0,2,2,1
TQRMNORUXHJLKRCDEHMHF00862734,1,42,1,1998-05-09 00:00:00,26,2,3,0.0,2,2,1
TQRMNOPTWHKKKTCDEHMHF00868404,1,42,1,1974-05-07 00:00:00,50,1,6,900000.0,2,2,1
TQRMNOPTWHKKKTCDEHMHF00868404,1,42,2,1978-04-17 00:00:00,46,1,6,1200000.0,2,2,1
TQRMNOPTWHKKKTCDEHMHF00868404,1,42,2,2009-02-25 00:00:00,15,3,3,0.0,2,2,1
TQRMNOQXVHKMLLCDEHMHF00868405,1,42,2,1956-03-19 00:00:00,68,3,6,-9.0,2,2,1
TQRMNOQXVHKMLLCDEHMHF00868405,1,42,1,1991-04-23 00:00:00,33,1,6,-9.0,2,2,1
TQSMNOQTSHLMKTCDEGIBJ00809865,1,41,1,1900-01-01 00:00:00,43,1,6,680000.0,2,2,1
TQSMNOQTSHLMKTCDEGIBJ00809865,1,41,2,1900-01-01 00:00:00,37,1,6,495000.0,2,2,1
TQSMNOQTSHLMKTCDEGIBJ00809865,1,41,2,1900-01-01 00:00:00,12,3,3,0.0,2,2,1
TQRMNOUVPHLLLOCDEGJBF00804887,1,43,2,1994-09-14 00:00:00,29,1,6,600000.0,1,2,2
TQRMNOSPSHLOLPCDEGJBF00804890,1,43,2,1992-04-04 00:00:00,32,3,3,217000.0,1,2,1
TQRMNOSPSHLOLPCDEGJBF00804890,1,43,1,1992-09-26 00:00:00,31,1,3,350000.0,1,2,1
TQRMNOSPSHLOLPCDEGJBF00804890,1,43,1,2012-09-04 00:00:00,11,3,1,0.0,1,2,1
TQRMNOSPSHLOLPCDEGJBF00804890,1,43,1,2017-01-16 00:00:00,7,4,1,0.0,1,2,1
TQRMNOSPSHLOLPCDEGJBF00804890,1,43,2,2020-06-24 00:00:00,4,4,7,0.0,1,2,1
TQRMNOQXUHLKLRCDEGJBF00868431,1,43,1,1985-09-17 00:00:00,38,1,5,1230000.0,2,2,2
TQRMNOTQTHKNKNCDEFOCD00868432,1,41,1,1945-05-20 00:00:00,79,3,3,350000.0,2,2,1
TQRMNOTQTHKNKNCDEFOCD00868432,1,41,2,1969-09-16 00:00:00,55,1,2,300000.0,2,2,1
TQRMNOTQTHKNKNCDEFOCD00868432,1,41,2,2005-02-28 00:00:00,19,3,5,0.0,2,2,1
TQRMNORXPHJKKMCDEFPCH00863014,1,44,2,1971-03-05 00:00:00,53,1,5,700000.0,2,2,1
TQRMNORXRHKKKNCDEFPCH00868433,1,44,1,1977-03-16 00:00:00,47,1,5,2500000.0,2,2,1
TQRMNORXRHKKKNCDEFPCH00868433,1,44,2,1977-12-28 00:00:00,46,1,6,1500000.0,2,2,1
TQRMNORXRHKKKNCDEFPCH00868433,1,44,1,2000-05-17 00:00:00,24,3,5,0.0,2,2,1
TQRMNORXRHKKKNCDEFPCH00868433,1,44,1,2008-08-12 00:00:00,16,3,3,0.0,2,2,1
TQRMNOQTXHJOKPCDEOHCH00863016,1,44,2,1973-09-16 00:00:00,50,1,3,400000.0,2,2,2
TQRMNOSWPHJOKPCDEOHCH00863017,1,44,2,1969-12-15 00:00:00,54,1,7,790000.0,2,2,2
TQRMNOTYUHJOKQCDEFKID00863436,1,43,1,1900-01-01 00:00:00,69,3,1,250000.0,2,2,2
TQRMNOPTXHKKKQCDEFKID00868471,1,43,1,2003-08-26 00:00:00,20,3,5,0.0,2,2,1
TQRMNOPTXHKKKQCDEFKID00868471,1,43,2,1970-02-26 00:00:00,54,1,6,375000.0,2,2,1
TQRMNOPTXHKKKQCDEFKID00868471,1,43,1,1968-03-01 00:00:00,56,1,4,400000.0,2,2,1
TQRMNOUSSHKOLLCDEHPJB00868472,1,40,1,1985-08-02 00:00:00,38,1,3,620000.0,1,1,1
TQRMNOUSSHKOLLCDEHPJB00868472,1,40,2,1993-03-22 00:00:00,31,3,3,0.0,1,1,1
TQRMNOUSSHKOLLCDEHPJB00868472,1,40,2,2012-04-14 00:00:00,12,3,3,0.0,1,1,1
TQRMNOUSSHKOLLCDEHPJB00868472,1,40,2,2017-01-08 00:00:00,7,4,1,0.0,1,1,1
TQRMNOUSSHKOLLCDEHPJB00868472,1,40,2,2022-11-04 00:00:00,1,4,7,0.0,1,1,1
TQRMNORWXHMOLTCDEHPJB00811552,1,40,1,1974-02-02 00:00:00,50,1,2,100000.0,2,2,2
TQRMNORWXHMOLTCDEHPJB00811552,1,40,2,1977-03-19 00:00:00,47,1,4,138000.0,2,2,2
TQRMNORWXHMOLTCDEHPJB00811552,1,40,1,2002-08-02 00:00:00,22,1,4,120000.0,2,2,2
TQRMNORWXHMOLTCDEHPJB00811552,1,40,1,2009-03-17 00:00:00,15,3,3,0.0,2,2,2
TQRMNOSYSHKMKSCDEFPCH00868473,1,44,2,2011-05-22 00:00:00,13,3,3,0.0,1,2,1
TQRMNOSYSHKMKSCDEFPCH00868473,1,44,1,2017-02-21 00:00:00,7,4,1,0.0,1,2,1
TQRMNOSYSHKMKSCDEFPCH00868473,1,44,1,1989-04-17 00:00:00,35,1,2,1150000.0,1,2,1
TQRMNOSYSHKMKSCDEFPCH00868473,1,44,2,1986-07-04 00:00:00,38,1,4,200000.0,1,2,1
TQRMNOQQPHKOLPCDEGIBJ00868502,1,41,2,1975-03-04 00:00:00,49,1,1,212000.0,2,2,2
TQRMNOQQPHKOLPCDEGIBJ00868502,1,41,2,2003-03-15 00:00:00,21,3,4,0.0,2,2,2
